LATITUDE;LONGITUDE;ANNUAL
-31,50;-53,85;4777
-31,50;-53,75;4769
-31,50;-53,65;4761
-31,50;-53,55;4750
-31,50;-53,45;4732
-31,50;-53,35;4700
-31,50;-53,25;4673
-31,50;-53,15;4655
-31,50;-53,05;4624
-31,50;-52,95;4611
-31,50;-52,85;4604
-31,50;-52,75;4589
-31,50;-52,65;4546
-31,50;-52,55;4524
-31,50;-52,45;4517
-31,50;-52,35;4517
-31,50;-52,25;4547
-31,50;-52,15;4599
-31,50;-52,05;4656
-31,50;-51,95;4715
-31,50;-51,85;4779
-31,50;-51,75;4803
-31,50;-51,65;4791
-31,50;-51,55;4787
-31,50;-51,45;4751
-31,50;-51,35;4754
-31,50;-51,25;4750
-31,50;-51,15;4766
-31,40;-54,95;4901
-31,40;-54,85;4898
-31,40;-54,75;4893
-31,40;-54,65;4897
-31,40;-54,55;4890
-31,40;-54,45;4880
-31,40;-54,35;4867
-31,40;-54,25;4848
-31,40;-54,15;4817
-31,40;-54,05;4797
-31,40;-53,95;4799
-31,40;-53,85;4790
-31,40;-53,75;4782
-31,40;-53,65;4768
-31,40;-53,55;4747
-31,40;-53,45;4717
-31,40;-53,35;4698
-31,40;-53,25;4689
-31,40;-53,15;4668
-31,40;-53,05;4653
-31,40;-52,95;4627
-31,40;-52,85;4626
-31,40;-52,75;4615
-31,40;-52,65;4581
-31,40;-52,55;4552
-31,40;-52,45;4531
-31,40;-52,35;4523
-31,40;-52,25;4526
-31,40;-52,15;4556
-31,40;-52,05;4614
-31,40;-51,95;4664
-31,40;-51,85;4727
-31,40;-51,75;4767
-31,40;-51,65;4771
-31,40;-51,55;4788
-31,40;-51,45;4794
-31,40;-51,35;4801
-31,40;-51,25;4774
-31,40;-51,15;4720
-31,40;-51,05;4723
-31,30;-55,25;4848
-31,30;-55,15;4893
-31,30;-55,05;4911
-31,30;-54,95;4910
-31,30;-54,85;4901
-31,30;-54,75;4889
-31,30;-54,65;4907
-31,30;-54,55;4899
-31,30;-54,45;4881
-31,30;-54,35;4854
-31,30;-54,25;4846
-31,30;-54,15;4820
-31,30;-54,05;4806
-31,30;-53,95;4801
-31,30;-53,85;4799
-31,30;-53,75;4796
-31,30;-53,65;4766
-31,30;-53,55;4748
-31,30;-53,45;4730
-31,30;-53,35;4705
-31,30;-53,25;4679
-31,30;-53,15;4671
-31,30;-53,05;4667
-31,30;-52,95;4659
-31,30;-52,85;4657
-31,30;-52,75;4649
-31,30;-52,65;4626
-31,30;-52,55;4584
-31,30;-52,45;4546
-31,30;-52,35;4522
-31,30;-52,25;4524
-31,30;-52,15;4533
-31,30;-52,05;4567
-31,30;-51,95;4610
-31,30;-51,85;4660
-31,30;-51,75;4709
-31,30;-51,65;4742
-31,30;-51,55;4792
-31,30;-51,45;4797
-31,30;-51,35;4794
-31,30;-51,25;4766
-31,30;-51,15;4703
-31,30;-51,05;4691
-31,30;-50,95;4671
-31,20;-55,35;4852
-31,20;-55,25;4864
-31,20;-55,15;4894
-31,20;-55,05;4911
-31,20;-54,95;4913
-31,20;-54,85;4907
-31,20;-54,75;4893
-31,20;-54,65;4898
-31,20;-54,55;4904
-31,20;-54,45;4894
-31,20;-54,35;4880
-31,20;-54,25;4867
-31,20;-54,15;4843
-31,20;-54,05;4830
-31,20;-53,95;4809
-31,20;-53,85;4794
-31,20;-53,75;4798
-31,20;-53,65;4766
-31,20;-53,55;4745
-31,20;-53,45;4741
-31,20;-53,35;4706
-31,20;-53,25;4683
-31,20;-53,15;4667
-31,20;-53,05;4658
-31,20;-52,95;4673
-31,20;-52,85;4673
-31,20;-52,75;4650
-31,20;-52,65;4634
-31,20;-52,55;4626
-31,20;-52,45;4598
-31,20;-52,35;4561
-31,20;-52,25;4551
-31,20;-52,15;4561
-31,20;-52,05;4567
-31,20;-51,95;4594
-31,20;-51,85;4614
-31,20;-51,75;4643
-31,20;-51,65;4701
-31,20;-51,55;4776
-31,20;-51,45;4793
-31,20;-51,35;4792
-31,20;-51,25;4757
-31,20;-51,15;4688
-31,20;-51,05;4673
-31,20;-50,95;4604
-31,20;-50,85;4606
-31,10;-56,05;5066
-31,10;-55,95;5029
-31,10;-55,85;4980
-31,10;-55,35;4867
-31,10;-55,25;4888
-31,10;-55,15;4898
-31,10;-55,05;4912
-31,10;-54,95;4910
-31,10;-54,85;4912
-31,10;-54,75;4896
-31,10;-54,65;4888
-31,10;-54,55;4900
-31,10;-54,45;4894
-31,10;-54,35;4889
-31,10;-54,25;4877
-31,10;-54,15;4849
-31,10;-54,05;4827
-31,10;-53,95;4800
-31,10;-53,85;4798
-31,10;-53,75;4792
-31,10;-53,65;4767
-31,10;-53,55;4744
-31,10;-53,45;4740
-31,10;-53,35;4722
-31,10;-53,25;4697
-31,10;-53,15;4666
-31,10;-53,05;4652
-31,10;-52,95;4664
-31,10;-52,85;4672
-31,10;-52,75;4644
-31,10;-52,65;4630
-31,10;-52,55;4631
-31,10;-52,45;4611
-31,10;-52,35;4587
-31,10;-52,25;4580
-31,10;-52,15;4578
-31,10;-52,05;4567
-31,10;-51,95;4581
-31,10;-51,85;4586
-31,10;-51,75;4625
-31,10;-51,65;4661
-31,10;-51,55;4724
-31,10;-51,45;4776
-31,10;-51,35;4802
-31,10;-51,25;4783
-31,10;-51,15;4727
-31,10;-51,05;4705
-31,10;-50,95;4646
-31,10;-50,85;4615
-31,10;-50,75;4592
-31,00;-56,05;5064
-31,00;-55,95;5036
-31,00;-55,85;5018
-31,00;-55,75;4965
-31,00;-55,65;4917
-31,00;-55,45;4882
